"filename", "language", "HTML", "Dart", "JSON", "C++", "Markdown", "YAML", "Swift", "XML", "Java Properties", "Gradle", "comment", "blank", "total"
"d:\tot\projects\POS_app\README.md", "Markdown", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"d:\tot\projects\POS_app\analysis_options copy.yaml", "YAML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"d:\tot\projects\POS_app\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\tot\projects\POS_app\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 5, 13, 73
"d:\tot\projects\POS_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\tot\projects\POS_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 1, 34
"d:\tot\projects\POS_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\tot\projects\POS_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\tot\projects\POS_app\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"d:\tot\projects\POS_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\tot\projects\POS_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\tot\projects\POS_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\tot\projects\POS_app\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"d:\tot\projects\POS_app\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\tot\projects\POS_app\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\tot\projects\POS_app\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"d:\tot\projects\POS_app\assets\cost_reports.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\tot\projects\POS_app\assets\current_customer.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\tot\projects\POS_app\assets\icons\warehouse-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\tot\projects\POS_app\assets\jsons\area_regions.json", "JSON", 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 0, 1, 354
"d:\tot\projects\POS_app\assets\jsons\banners.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"d:\tot\projects\POS_app\assets\jsons\categories.json", "JSON", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 3, 166
